,Id,redcap_repeat_instrument,redcap_repeat_instance,BIRTHDATE,DEATHDATE,ssn_patient,drivers_patient,passport_patient,prefix_patient,first_patient,last_patient,suffix_patient,maiden_patient,marital_patient,race_patient,ethnicity_patient,GENDER,birthplace_patient,address_patient,city_patient,state_patient,fips_patient,county_patient,zip_patient,lat_patient,lon_patient,healthcare_expenses_patient,healthcare_coverage_patient,income_patient,patients_complete,start_medication,stop_medication,payer_medication,encounter_medication,code_medication,description_medication,base_cost_medication,payer_coverage_medication,dispenses_medication,totalcost_medication,reasoncode_medication,reasondescription_medication,medications_complete,start_condition,stop_condition,encounter_condition,code_condition,description_condition,conditions_complete,PATIENT,Medication,DESCRIPTION_condition,START_condition,earliest_medication_starttime,Status,start_time,end_time,Time,Age_cancer
0,0dbd5054-38f2-ca4a-3222-1231810defa2,,,2007-03-24,2009-08-14,999-45-4667,,,,Eloisa55,Johns824,,,,white,nonhispanic,F,Concord  Massachusetts  US,823 Howell Lodge Apt 59,Brockton,Massachusetts,25023.0,Plymouth County,2351.0,42.0780853,-70.97994327,11280.9,71954.1,71410.0,0.0,,,,,,,,,,,,,,,,,,,,0dbd5054-38f2-ca4a-3222-1231810defa2,100 ml epirubicin hydrochloride 2 mg/ml injection,Malignant neoplasm of breast (disorder),2008-09-17,2008-09-28,1,2008-09-28,2009-08-14,320,1.0
1,3fd52c98-62e8-019b-db8c-dfa56cae06eb,,,1947-05-31,,999-50-6469,S99922724,X7451587X,Mrs.,Joi660,Bauch723,,O'Hara248,1.0,black,nonhispanic,F,Franklin  Massachusetts  US,908 Klocko Corner,Bourne,Massachusetts,25001.0,Barnstable County,2532.0,41.68504516,-70.57818811,88900.04,2011248.53,122305.0,0.0,,,,,,,,,,,,,,,,,,,,3fd52c98-62e8-019b-db8c-dfa56cae06eb,100 ml epirubicin hydrochloride 2 mg/ml injection,Malignant neoplasm of breast (disorder),2012-06-11,2012-12-11,0,2012-12-11,2023-01-21,3693,65.0
2,7fe0a247-811b-fc51-4e15-ce39e06c2394,,,1962-11-28,,999-45-1667,S99923261,X37257575X,Mrs.,Alica364,Harvey63,,Kling921,1.0,white,nonhispanic,F,Boston  Massachusetts  US,919 Jakubowski Dale Unit 67,Deerfield,Massachusetts,25011.0,Franklin County,1342.0,42.52037509,-72.60283155,51758.95,1034079.46,91382.0,0.0,,,,,,,,,,,,,,,,,,,,7fe0a247-811b-fc51-4e15-ce39e06c2394,paclitaxel 100 mg injection,Malignant neoplasm of breast (disorder),2020-10-07,2020-10-20,0,2020-10-20,2023-01-21,823,58.0
3,9a87803d-2a1b-db4c-979a-816bf219c458,,,1960-06-04,2007-02-23,999-99-8123,S99956660,X28678565X,Ms.,Deb577,Littel644,,,2.0,white,nonhispanic,F,Tyngsborough  Massachusetts  US,711 Breitenberg Bridge,Westborough,Massachusetts,25027.0,Worcester County,1581.0,42.24242192,-71.61831216,58872.58,1385925.64,122486.0,0.0,,,,,,,,,,,,,,,,,,,,9a87803d-2a1b-db4c-979a-816bf219c458,paclitaxel 100 mg injection,Malignant neoplasm of breast (disorder),2004-08-09,2005-02-08,1,2005-02-08,2007-02-23,745,44.0
4,9e9047d5-4f5e-dbc8-2dae-b2b43a6246ae,,,1968-09-15,,999-70-4718,S99918240,X75922113X,Mrs.,Marianela210,Hayes766,,Cruickshank494,1.0,black,nonhispanic,F,Framingham  Massachusetts  US,189 Reichel Promenade Unit 18,Hamilton,Massachusetts,,Essex County,0.0,42.65980086,-70.90229726,254135.79,24525.8,61.0,0.0,,,,,,,,,,,,,,,,,,,,9e9047d5-4f5e-dbc8-2dae-b2b43a6246ae,paclitaxel 100 mg injection,Malignant neoplasm of breast (disorder),2020-10-17,2020-10-27,0,2020-10-27,2023-01-21,816,52.0
5,24a00ffd-375f-056a-7e02-d8ddc6ff2de4,,,1943-08-19,2015-06-20,999-79-9924,S99976437,X68668287X,Mrs.,Katina266,Jenkins714,,Moore224,1.0,white,nonhispanic,F,Easton  Massachusetts  US,834 Tromp Port Suite 19,Framingham,Massachusetts,25017.0,Middlesex County,1702.0,42.35343351,-71.43149379,80998.42,1155945.27,82114.0,0.0,,,,,,,,,,,,,,,,,,,,24a00ffd-375f-056a-7e02-d8ddc6ff2de4,paclitaxel 100 mg injection,Malignant neoplasm of breast (disorder),2010-06-26,2010-07-10,1,2010-07-10,2015-06-20,1806,67.0
6,39df748d-1ead-461d-5ed5-54fa622396f1,,,1954-01-19,,999-18-1667,S99978527,X88547310X,Mrs.,Tameika522,Braun514,,Herzog843,1.0,white,nonhispanic,F,Falmouth  Massachusetts  US,417 Weber Annex,Waltham,Massachusetts,25017.0,Middlesex County,2452.0,42.38921392,-71.2314808,328942.37,251781.18,22441.0,0.0,,,,,,,,,,,,,,,,,,,,39df748d-1ead-461d-5ed5-54fa622396f1,paclitaxel 100 mg injection,Malignant neoplasm of breast (disorder),2014-08-19,2014-08-30,0,2014-08-30,2023-01-21,3066,61.0
7,71d99b97-f1ff-579f-a626-619ad77fda13,,,1955-09-26,2008-02-24,999-42-8406,S99956554,X29581946X,Mrs.,Dierdre747,Dooley940,,Treutel973,1.0,white,nonhispanic,F,Holden  Massachusetts  US,320 Treutel Fort,Natick,Massachusetts,,Middlesex County,0.0,42.28875474,-71.33329143,99121.25,1792048.9,64915.0,0.0,,,,,,,,,,,,,,,,,,,,71d99b97-f1ff-579f-a626-619ad77fda13,paclitaxel 100 mg injection,Malignant neoplasm of breast (disorder),1999-03-15,1999-03-21,1,1999-03-21,2008-02-24,3262,43.0
8,86abebe8-0e13-ebe4-99e1-e91918d8f5a7,,,1978-07-18,1991-03-12,999-48-5888,,,,Henrietta324,Sporer811,,,,other,nonhispanic,F,Yarmouth  Massachusetts  US,241 Franecki Vista Suite 16,Boston,Massachusetts,25025.0,Suffolk County,2126.0,42.21218726,-71.15961134,14963.24,13349.48,124039.0,0.0,,,,,,,,,,,,,,,,,,,,86abebe8-0e13-ebe4-99e1-e91918d8f5a7,paclitaxel 100 mg injection,Malignant neoplasm of breast (disorder),1991-01-13,1991-01-23,1,1991-01-23,1991-03-12,48,12.0
9,483ae6d2-0ae6-e8ec-4eed-5ce2a4a64143,,,1958-11-05,2020-01-21,999-15-4707,S99956802,X89710695X,Ms.,Novella551,Weimann465,,,2.0,white,hispanic,F,Brockton  Massachusetts  US,384 Murray Parade Unit 0,Worcester,Massachusetts,25027.0,Worcester County,1608.0,42.2737898,-71.79899706,70009.84,743037.85,71277.0,0.0,,,,,,,,,,,,,,,,,,,,483ae6d2-0ae6-e8ec-4eed-5ce2a4a64143,paclitaxel 100 mg injection,Malignant neoplasm of breast (disorder),2016-08-09,2016-08-20,1,2016-08-20,2020-01-21,1249,58.0
